Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
CHC.per_plant_L_G_exposure_C,US Dollars,Calculates the per-project exposure associated with loan guarantees for the &quot;next&quot; facility investment,Array | Internal Calculation,,
CHC.Pilot_dev_time,years,Dwell time between initiation and completion of pilot development effort,scalar | Constant | Techno Economic Input,,Program Scenarios
CHC.pilot_learning_inputs_CHC,per year,module interface to RA.pilot learning inputs CHC,array | module interface,,
CHC.pilot_learning_logic,per year,Calculates rate of increase in maturity at pilot level,Array | Internal Calculation,,
CHC.Pilot_Maturity,Unitless,Calculates current state of maturity at pilot level,Array | Internal Calculation,,
CHC.pilot_maturity_gap,Unitless,"Difference between full maturity (i.e., maturity =1) and current level of pilot maturity",Array | Internal Calculation,,
CHC.Pilot_Multipliers,Unitless,"Translates pilot-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
CHC.pilot_op_experience_per_year,HoursPerProjectPerYr,Provides an estimate of the number of hours each year that each pilot-scale operation is generating experience,scalar | Constant | Techno Economic Input,,Program Scenarios
CHC.Pilot_op_time,years,Assumed time for pilot operations to be on-line and generating learning,scalar | Constant | Techno Economic Input,,Program Scenarios
CHC.Pilot_Progress_Ratios,1/doubling,Assumed progress ratio for learning curve at pilot scale,Array | Constant | Techno Economic Input,,Progress Ratios
CHC.Pilot_Projects_in_Development,Projects,Calculates the total number of pilot projects that are in development but not yet operational,Array | Internal Calculation,,Program Scenarios
CHC.Pilot_Scale_Operations,Projects,Calculates the total number of pilot projects that are in development but not yet operational,Array | Internal Calculation,,Program Scenarios
CHC.pilot_shared_learning,per year,Calculates flow of &quot;spillover&quot; learning from other conversion pathways at pilot scale,Array | Internal Calculation,,
CHC.Pilot_start,Projects,Defines scenario over time for annual pilot.  Projects spend time in development before becoming operational,Array | Graphical function | scenario input,,Program Scenarios
CHC.pioneer_capacity_scale_factor,Unitless,Estimate of scale factor for &quot;pioneer&quot; facilities for a given pathway,scalar | Constant | Techno Economic Input,,
CHC.pipeline_by_fs_region,million-ton/yr,"Calculates required cellulosic feedstock per year by cellulosic type and region, necessary to support production capacity in design and construction",Array | Internal Calculation,,
CHC.pipeline_by_path_region_fs,million-ton/yr,"Calculates required cellulosic feedstock per year by cellulosic type and region (and where applicable, by pathway), necessary to support production capacity in design and construction",Array | Internal Calculation,,
CHC.Pipeline_Potential_Plant_Output_gal_per_yr_C,gallons per year,Calculates potential annual fuel production at full utilization for facilities under construction,Array | Internal Calculation,,
CHC.Plant_Economic_Lifetime,years,Estimated Plant Economic Lifetime--used as input to net present value calculation,scalar | Constant | Techno Economic Input,,
CHC.plant_planning,Projects per Year,Calculates continuous influx pressure for facility investment into Plant Start Accumulator.,Array | Internal Calculation,,
CHC.Plant_Start_Accumulator,Projects,Stock that accumulates continuous signal and then ejects discrete facility quantity.,Array | Internal Calculation,,
CHC.Plant_Utilization_Factors,Unitless,Calculates overall utilization of on line facilities by pathway,Array | Internal Calculation,,
CHC.Platform_Attr,Unitless,Calculates overall attractiveness of investment in commercial facilities for each conversion option,Array | Module Interface,,
CHC.platform_specific_regional_concentration_weighting_factor,Unitless,"Amplifier/multiplier that amplifies differences in regional distribution from attractiveness, based on industry maturity.",Array | Internal Calculation,,
CHC.Policy_Duration,years,defines duration of conversion-related policies,Array | Constant | scenario input,,
CHC.Policy_End,years,Defines time that conversion policies end,Array | Internal Calculation,,Conversion Policy
CHC.Policy_Start,years,Defines time that conversion policies start,Array | Constant | scenario input,,Conversion Policy
CHC.Policy_Switch,Unitless,Arrayed switch (0/1) that activates/deactivates various government policies around subsidies and loan guarantees,Array | Constant | scenario input,,Conversion Policy
CHC.Policy_time_constraints,Unitless,Logic that activates conversion policies if they are in the time window provided by start and end times,Array | Internal Calculation,,
CHC.PoP_Price_Subs_Logic,USD per gallon,"Logic that controls activation of per-gallon product subsidy accruing at point of production.  Logic controlled by switch, time constraints, and subsidy amount",Array | Sector Interface,,
CHC.PoP_Subsidized_Price,USD per gallon,module interface to OI.CM C to R price input,array | module interface,,
CHC.potential_demand,million-ton/yr,Calculates potential feedstock demand for on line facilities by  feedstock type,Array | Internal Calculation,,
CHC.potential_pipeline,million-ton/yr,"Calculates potential feedstock demand for facilities in design and construction, by  feedstock type",Array | Internal Calculation,,
CHC.Price_Increase_Due_to_RINs,USD per gallon,Scenario defining additional price impact resulting from renewable identification number (RIN),Array | Graphical function | scenario,,RIN Price Effects
CHC.Progress_Ratios_Commercial,1/doubling,Assumed progress ratio for learning curve at commercial scale,Array | Constant | Techno Economic Input,,Progress Ratios
CHC.PV_Loan_Payment,US Dollars,Calculates PV of loan payments over length of loan for commercial-scale projects,Internal Calculation for this sector,,
CHC.PY_D_and_C_to_Startup,gal-projects/(ton-yr),Co-flow of process yield associated withmovement of facilities from design and construction to on line status,Array | Internal Calculation,,
CHC.PY_in_In_Design_and_Cons,ProjectGalPerTon,Tracks total &quot;weight&quot; of process yield associated with plants in design and construction,Array | Internal Calculation,,
CHC.PY_influx,gal-projects/(ton-yr),"Samples state of the industry process yield, applying it to influx of full commercial plants that begin design and construction  Resultant downstream structure used to track process yield for commercial-scale plants.",Array | Internal Calculation,,
CHC.PY_OnLine,ProjectGalPerTon,Tracks total &quot;weight&quot; of process yield associated with commercial scale plants that are on-line,Array | Internal Calculation,,
CHC.PY_retirements,gal-projects/(ton-yr),Calculates the outflux of process yield associated with retirement of on-line facilities,Array | Internal Calculation,,
CHC.rate_of_doubling_demo_experience,doubling/yr,Calculates the rate of doubling of pre commercial (PC) scale experience,Array | Internal Calculation,,
CHC.rate_of_doubling_industry_output_by_technology,doubling/yr,Calculates the rate of doubling of industry experience,Array | Internal Calculation,,
CHC.rate_of_doubling_pilot_experience,doubling/yr,Calculates the rate of doubling of pilot scale experience,Array | Internal Calculation,,
CHC.rate_of_industry_process_yield_adjustment,per year,fractional rate of incorporation of state of art re process yield into existing plants in industry,scalar | Constant | Scenario Input,,
CHC.Regional_coeffs,Unitless,Set of coefficients/switches that enable testing of different REGIONS individually or in concert,Array | Constant | Scenario Input,,
CHC.Regional_FS_Cost_USD_per_gal,USD per gallon,Calculates Expected Feedstock Cost in $/gal,Array | Internal Calculation,,
CHC.Regional_FS_Cost_USD_yr,US dollars per year,Calculates Expected Cost in $/yr for &quot;next&quot; commercial facility,Array | Internal Calculation,,
CHC.regional_op_cost_weights,Unitless,calculates weighting factor for fixed operating cost per gallon calculation,Array | Internal Calculation,,
CHC.RegionRollup_Attr,Unitless,"attractiveness of investment in commercial scale plants, rolled up across regions, for each conversion option",Array | Internal Calculation,,
CHC.Reqd_Annual_FS_Supply_Million_TPY,million-ton/yr,"Calculates feedstock production required to support on-line facilities, expressed in million tons per year",Array | Internal Calculation,,
CHC.Reqd_Annual_FS_Supply_TPY,ton per year,"Calculates feedstock production required to support on-line facilities, expressed in tons per year",Array | Internal Calculation,,
CHC.Reqd_FS_Supply_Pipeline_Million_TPY,million-ton/yr,"Calculates feedstock production required to support facilities in design and construction, expressed in million tons per year",Array | Internal Calculation,,
CHC.Reqd_FS_supply_Pipeline_TPY,ton per year,"Calculates feedstock production required to support facilities in design and construction, expressed in tons per year",Array | Internal Calculation,,
CHC.Reqd_Rate_of_Return,per year,"Project rate of return required to stimulate investment in a project, given current state of industry, expressed as a fraction",Array | Internal Calculation,,
CHC.Reqd_Rate_of_Return_as_PCT,percent/yr,"Calculates project rate of return required to stimulate investment in a project, given current state of industry, expressed in percentage per year",Array | Internal Calculation,,
CHC.Retirement_Fraction,per year,Fraction of commercial scale facilities retiring per year,Array | Constant | Scenario Input,,
CHC.retirements,projects per year,Calculates (continuous) retirement of plants at the end of their productive lifetime,Array | Internal Calculation,,
CHC.ROI_USD_per_gal,USD per gallon,"Calculates required return on investment for next facility, expressed in dollars per gallon of output",Array | Internal Calculation,,
CHC.rollup_annual_subsidies,US Dollars,Calculates total yearly subsidies for the module,scalar | Internal Calculation,,
CHC.rollup_cumulative_subsidies,US Dollars,Calculates total cumulative subsidies for the module,scalar | Internal Calculation,,
CHC.Rollup_Loan_Expsure,US Dollars,Calculates total cumulative loan exposure for the module,scalar | Internal Calculation,,
CHC.Rough_Estimate_Annual_Interest,US dollars per year,"Calculates the average amount of interest paid per year, across the life of loan",Array | Internal Calculation,,
CHC.SCALE_UP_Switch,Unitless,0-1 switch used to activate economy of scale logic,scalar | Constant | Scenario Input,,Feedstock Logistics Maturity
CHC.scheduled_plant_initiation,Projects per Year,Provides discrete influx of commercial facilites into design and construction based on scenario defined by start schedule,Array | Internal Calculation,,
CHC.Start_Schedule,Projects,Scenario defining influx of commercial scale facilities,Array | graphical function | scenario,,Program Scenarios
CHC.start_schedule_nameplate_output_gpd,GPD,Calculates start schedule name plate output as gallons per day,Array | Internal Calculation,,
CHC.start_schedule_nameplate_output_gpy,gallons per year,Scenario defining nameplate product output associated with start-scheduled facilites,Array | graphical function | scenario,,Program Scenarios
CHC.start_schedule_ORNOVOC,US dollars per year,Calculates operating revenue net of variable operating cost associated with start-scheduled facilites,Array | Sector Interface,,
CHC.start_schedule_scale_factor,Unitless,calculates facility scale (relative to mature industy) for start-scheduled facilites,Array | Internal Calculation,,
CHC.start_schedule_thruput_capacity,ton per day,calculates thruput capacity associated with start-scheduled facilities,Array | Internal Calculation |Sector Interface,,
CHC.startup_spend_constraint,unitless,module interface to RA.C to RR constraint from cume spend,scalar | module interface,,
CHC.Startup_Subs,Unitless,"Sets subsidy amounts for price (in USD/gal), feedstock (USD/ton), FCI (fraction of FCI), and loan guarantee (fraction of loan that has associated guarantee).  Actual startup subsidy controlled by startup policy switch, cumulative industry output, volume threshold",Array | Constant | Scenario Input,,Conversion Policy
CHC.Startup_Subs_Vol_Thresh,billions-gal,"Assumed cumulative volume that, when exceeded, causes startup subsidy to end",Array | Constant | Scenario Input,,Conversion Policy
CHC.Startup_Subs_Volume_Input,billions-gal,"Calculates cumulative volume (for entire module or for specific pathways.  When this signal exceeds volume threshold, startup subsidy ends.",Array | Internal Calculation,,
CHC.State_of_Industry_Process_Yield,gal per ton,Calculates process yield for &quot;next&quot; facility based on mature industry yield and commercial maturity,Array | Internal Calculation | Sector Interface,,
CHC.State_of_the_Industry_Multipliers,Unitless,"Translates commercial-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing AND commercial scale activity. Captured as weighted average, with weighting factor dynamically determined by indices of commercial maturity. Multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
CHC.Subsidy_Amt,Unitless,"Calculates subsidy quantities from startup and background processes, as constrained by cumulative spending limit.",Array | Internal Calculation,,
CHC.Taxes_USD_per_gal,USD per gallon,"Calculates taxes associated with next plant, on a dollars per gallon basis",Array | Internal Calculation,,
CHC.technology_switches,Unitless,O-1 Switch to activate different conversion pathways,Array | constant | scenario input,,Pathway exclusion
CHC.term_of_loan,years,Length of project loan,scalar | Constant | Techno Economic Input,,
CHC.threshold_for_total_attr_calc,Unitless,"Sets minimum value for attractiveness calculation, preventing division by 0 in downstream LOGN function.",scalar | constant,,
CHC.Tot_FS_Thruput_Cap_OnLine,ProjectTonPerDay,Tracks total weight of throughput capacity associated with  commercial scale plants that are on-line,Array | Internal Calculation,,
CHC.Tot_FS_Thruput_Cap_Pipeline,ProjectTonPerDay,Tracks total weight of thruput capacity associated with plants in design and construction,Array | Internal Calculation,,
CHC.Tot_ORNOVOC_in_Pipeline,ProjectUSDPerYr,Tracks total weight of other revenues net of variable operating cost (ORNOVOC)associated with plants in design and construction,Array | Internal Calculation,,
CHC.Tot_ORNOVOC_OnLine,ProjectUSDPerYr,Tracks total weight of other revenues net of variable operating cost (ORNOVOC)associated with facilites that are on-line,Array | Internal Calculation,,
CHC.Total_Exp_Revs,US dollars per year,Calculates expected revenues for next commercial-scale facility,Array | Internal Calculation,,
CHC.total_project_length,years,"Total length of commercial project, including desingn, construction, and economic  lifetime once facility becomes operational",Array | Internal Calculation,,
CHC.Use_Agnostic_FS_Conversion,unitless,module interface to FM.Use Agnostic FS Conversion,scalar | module interface,,
CHC.Use_Startup_Subs,Unitless,Enables startup subsidies when volume input has not exceeded the specified volume threshold,Array | Internal Calculation,,
CHC.Use_Startup_Subs_Module_Volume_Input,billions-gal,0-1 switch used to active module vs pathway based volume threshold for startup subsidy.  1 --&gt; module.  0 --&gt; pathways,scalar |constant | scenario input,,
CHC.UTIL_by_tech,Unitless,Calculates aggregate capacity utilization for each pathway based on production and output capacity,Array | Internal Calculation,,
CHC.volume_wtd_fixed_cost_USD_per_gal,USD per gallon,Calculates  contribution to fixed cost in dollars per gallon for each pathway by region (for those modules with regions) weighted by regional production volume,Array | Internal Calculation,,
CHC.volume_wtd_FS_cost_USD_per_gal,USD per gallon,Calculates feedstock cost in dollars per gallon for each pathway by region (for those modules with regions) weighted by regional production volume,Array | Internal Calculation,,
CHC.volume_wtd_net_op_cost_USD_per_gal,USD per gallon,Calculates net operating cost in dollars per gallon for each pathway by region (for those modules with regions) weighted by regional production volume,Array | Internal Calculation,,
CHC.W,Unitless,Parameter used in nested logit calculation,scalar | Constant | assumed value,,
CHC.weighted_distn_new_facilities,Unitless,"Amplifies differences in regional distribution from attractiveness, based on a concentration weighting factor that depends on industry maturity.",Array | Internal Calculation,,
CHC.Years_in_D_and_C,years,Assumed time in design and construction for commercial-scale plant,scalar | Constant | Techno Economic Input,,
CHC.yrly_FCI_subs,US dollars per year,Calculates total annual volume of fixed capital investment (FCI) subsidy,Array | Internal Calculation,,
CHC.yrly_fs_subs,US dollars per year,Calculates total annual volume of feedstock-related (fs) subsidy,Array | Internal Calculation,,
CHC.yrly_Loan_guarantee_flux,US dollars per year,Calculates total annual volume of loan guarantee exposure,Array | Internal Calculation,,
CHC.yrly_prodn_subs,US dollars per year,Calculates total annual volume of production-related subsidies,Array | Internal Calculation,,
DS.Actual_User_Weighted_Hi_Blend_Share,Unitless,Share of total fuel consumption captured by hi blend fuels,array | internal calculation,,
DS.alt_fuel_POU_cost,USD per gallon,"Calculates point of use cost to dispensing stations for &quot;alternative&quot; fuel (i.e., hi blend or renewable super premium)",array | internal calculation,,
DS.alt_fuel_pump_price,USD per gallon,"Calculates point of use pump price for &quot;alternative&quot; fuel (i.e., hi blend or renewable super premium)",array | internal calculation,,
DS.Annual_Loan_Payment,US dollars per year,Annual payment associated with repayment of loan for new tankage and equipment,array | internal calculation,,
DS.Annual_Loan_Payment_RP,US dollars per year,Annual payment associated with repayment of loan for repurposed tankage and equipment,array | internal calculation,,
DS.annual_station_traffic,Visits per year,Annual station traffic in visits per year,array | internal calculation,,
DS.avg_per_station_vol_gas_eq_per_mo,gallons per month,Calculated per-station avg volume,array | internal calculation,,
DS.completing_consideration,stations/years,flux in stations per yr of completing investment investment decision,array | internal calculation,,
DS.completing_consideration_repurpose,stations/years,flux in stations per yr of completing investment investment decision,array | internal calculation,,
DS.Considering_Investment,Stations,stock of stations (By Region By Owner) currently contemplating addition of Hi-Blend Capability,array | internal calculation,,
DS.Considering_RP,Stations,stock of stations (By Region By Owner) currently contemplating addition of Hi-Blend Capability,array | internal calculation,,
DS.Cume_Interest_Payment,US Dollars,Cumulative interest paid over life of loan for tankage and equipment,array | internal calculation,,
DS.Cume_Interest_Payment_RP,US Dollars,Cumulative interest paid over life of loan for repurposing tankage,array | internal calculation,,
DS.Cume_Loan_Payment,US Dollars,Cumulative interest + principal repaid over term of loan,array | internal calculation,,
DS.Cume_Loan_Payment_RP,US Dollars,Cumulative interest + principal repaid over term of loan,array | internal calculation,,
DS.Current_Gas_Volume,gallons per year,Current per-station volume of gasoline sales,array | internal calculation,,
DS.debt_interest_rate_as_frac,per year,"Interest rate for debt financing, expressed as fraction/year",scalar | constant | assumed value | scenario input,,
DS.depreciation_period,years,Depreciation period for capital equipment,scalar | constant | technoeconomic input | scenario input,,
DS.discount_factor_1,years,"Calculates discount factor for doing NPV calculation for portion of project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",array | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.discount_factor_2,years,"Calculates discount factor for doing NPV calculation for portion of project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",array | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.discount_factor_3,years,Calculates discount factor for doing NPV calculation for total project length,array | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.discount_factor_loan,years,Calculates discount factor for doing NPV calculation associated with loan repayment (principal + interest),scalar | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.discount_factor_Loan_Payment,years,Calculates discount factor for calculating annual loan repayment amount (principal + interest),array | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.discount_factor_Loan_Payment_RP,years,Calculates discount factor for calculating annual loan repayment amount (principal + interest),array | internal calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
DS.dwell_time_for_considering_investment,years,Avg length of time that decision is under consideration before yes/no decision is made,scalar | constant | assumed value | scenario input,,
DS.Equity_Fraction,Unitless,Expected fraction of Investment to be funded through equity financing,array | constant | assumed value | scenario input,,
DS.estimated_depreciation_expense,US dollars per year,Depreciation expense associated with investment in tankage and equipment,array | internal calculation,,
DS.estimated_depreciation_expense_RP,US dollars per year,Depreciation expense associated with investment in tankage and equipment,array | internal calculation,,
DS.Expected_FCI_New_Tankage_and_Equip,US Dollars,Expected Fixed Capital Investment for greenfield tankage and equipment,array | constant | technopeconomic input,,Dispensing Capital Costs
DS.Expected_FCI_Repurposing_Midgrade,US Dollars,Expected Fixed Capital Investment repurposing midgrade tankage to hiblend,array | constant | technopeconomic input,,Dispensing Capital Costs
DS.Expected_Gas_Visits_from_Current_Traffic,Visits per year,"Expected  gasoline (not hi-blend) visits, from current customer flow, as a result of investment in tankage and equipment",array | internal calculation,,
DS.Expected_Gas_Volume_from_Current_Traffic_after_invest,gallons per year,"Expected gasoline sales volume from current customer base,after hi blend investment",array | internal calculation,,
DS.Expected_Hi_Blend_Cost_after_Subz,USD per gallon,module interface to IP.Expected PoU Hi Blend Cost after Subz,array | module interface,,
DS.Expected_Higher_Blend_Visits_from_Current_Traffic,Visits per year,"Expected  visits for hi blend, from current customer flow, resulting from investment in hi blend tankage and equipment",array | internal calculation,,
DS.Expected_Inc_Gas_Visits,Visits per year,Expected  incremental regular gasoline visits resulting from investment,array | internal calculation,,
DS.Expected_Inc_Gas_Volume,gallons per year,Expected  incremental gasoline volume,array | internal calculation,,
DS.Expected_Inc_Gas_Volume_Current_Traffic,gallons per year,"Expected Increment in gasoline sales volume associated with current station traffic, once investment is made",array | internal calculation,,
DS.Expected_Inc_Gas_Volume_Inc_Visits,gallons per year,Incremental gasoline sales volume associated with incremental visits as result of investment,array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Cost,US dollars per year,Expected  incremental cost (in USD/yr)  associated with incremental hi blend sales,array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Rev,US dollars per year,Total expected  revenues from Hi Blend sales after investment,array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Visits,Visits per year,Expected  incremental Hi Blend visits resulting from investment,array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Volume,gallons per year,Expected total  incremental hi blend sales volume after investment,array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Volume_Current_Traffic,gallons per year,"Expected  incremental hi blend volume from current traffic, once investment is made",array | internal calculation,,
DS.Expected_Inc_Hi_Blend_Volume_Inc_Visits,gallons per year,Expected  incremental  Hi Blend volume from incremental customers after investment,array | internal calculation,,
DS.Expected_Incremental_Traffic,Visits per year,Expected  incremental  visits resulting from investment,array | internal calculation,,
DS.Expected_Share_Current_Traffic_to_Hi_Blend,Unitless,Calculation of expected share of current hi-blend capable traffic that will make switch to using hiblend if tankage were present,array | internal calculation,,
DS.Expected_Share_Current_Traffic_to_higher_blends,Unitless,Calculation of expected share of current hi-blend capable station traffic that will make switch to using hiblend if tankage were present,array | internal calculation,,
DS.Expected_Share_Inc_Traffic_to_Hi_Blend,Unitless,Fraction of incremental traffic expected to use hiblend if investment in tankage is made,array | constant | assumed value | scenario input,,
DS.Expected_Tax_1,US dollars per year,Calculates expected taxes during portion of project life beginning at beginning and and ending at end of loan term or depreciation period--whichever is smaller.,array | internal calculation,,
DS.Expected_Tax_1_RP,US dollars per year,"Calculates expected taxes during portion of project life beginning at beginning and and ending at end of loan term or depreciation period--whichever is smaller, for repurposed tankage and equipment",array | internal calculation,,
DS.Expected_Tax_2,US dollars per year,Calculates expected taxes during portion of project life between end of depreciation period and end of loan term.,array | internal calculation,,
DS.Expected_Tax_2_RP,US dollars per year,"Calculates expected taxes during portion of project life between end of depreciation period and end of loan term, for repurposed tankage and equipment",array | internal calculation,,
DS.Expected_Tax_3,US dollars per year,Calculates expected taxes during portion of project life after loan term AND depreciation period,array | internal calculation,,
DS.Expected_Tax_Rate,Unitless,Expected tax rate associated with income from investment,scalar | constant | technoeconomic input | scenario input,,
DS.Expected_Taxable_Income_1,US dollars per year,Calculates expected taxable income during portion of project life beginning at beginning and and ending at end of loan term or depreciation period--whichever is smaller.,array | internal calculation,,
DS.Expected_Taxable_Income_1_RP,US dollars per year,"Calculates expected taxes during portion of project life beginning at beginning and and ending at end of loan term or depreciation period--whichever is smaller, for repurposed tankage and equipment",array | internal calculation,,
DS.Expected_Taxable_Income_2,US dollars per year,Calculates expected taxable income during portion of project life between end of depreciation period and end of loan term.,array | internal calculation,,
DS.Expected_Taxable_Income_2_RP,US dollars per year,Calculates expected taxable income during portion of plant life between end of depreciation period and end of loan term.,array | internal calculation,,
DS.Expected_Taxable_Income_3,US dollars per year,Calculates expected taxable income during portion of project after loan term AND depreciation period,array | internal calculation,,
DS.FCI_New_Tankage_Equip,US Dollars,Amount of total project Fixed Capital Investment after subsidy associated with new investment,array | internal calculation,,
DS.FCI_Repurposing_Midgrade,US Dollars,"Amount of total project Fixed Capital Investment after subsidies, associated with repurposing existing midgrade tankage",array | internal calculation,,
DS.FCI_subs_stop_time,years,time to end subsidies for FCI,scalar | constant | scenario input,,Downstream
DS.FCI_subs_switch,Unitless,Policy switch to facilitate testing of capital subsidy for new tankage/equipment,scalar | constant | scenario input,,Downstream
DS.Frac_FCI_subs,Unitless,Fraction of Fixed Capital Expense that is subsidized by gov&apos;t,scalar | constant | scenario input,,Downstream
DS.Frac_Tankage_Debt_Financed,Unitless,Fraction of Investment  to be funded through debt financing. Calculated based on assumed equity fraction.,Array | internal calculation,,
DS.Gross_Expected_Other_Rev_per_visit,USD per visit,Expected per-visit non-fuel station revenue,scalar | constant | scenario input,,
DS.Hi_Blend_Pump_Price,USD per gallon,module interface to IP.Hi Blend Pump Price,array | module interface,,
DS.Hi_Blend_Volumetric_Offset,unitless,module interface to IP.Hi Blend volumetric Offset,array | module interface,,
DS.impact_station_coverage_on_incremental_traffic,Unitless,"constrains incremental traffic on a per-station basis, as station coverages  increases within a region",array | graphical function,,
DS.implementation_time,years,Time for implementing initiatives in this model,scalar | constant | scenario input,,
DS.Incremental_Traffic_Fraction,Unitless,Fractional increment (relative to current traffic) that is expected to accrue to the station as a result of investment in hiblend capability,scalar | constant | scenario input,,
DS.initial_considering_invest,Stations,"Calculated initial count of stations, by region, who ARE considering investment in new hiblend tankage",array | internal calculation,,
DS.initial_considering_repurpose,Stations,"calculated initial count of stations, by region by owner, with repurposable tankage, who ARE considering repurpose",array | internal calculation,,
DS.Initial_Equity_Investment,US Dollars,Expected equity investment associated with FCI of new tankage and equipment,array | internal calculation,,
DS.Initial_Equity_Investment_RP,US Dollars,Expected equity investment associated with FCI of repurposed tankage and equipment,array | internal calculation,,
DS.initial_frac_ALL_stations_with_repurposable_tankage,Unitless,"Fraction of stations, by region, that have hi-blend repurposable tankage",array | constant,,Repurposable Tankage
DS.initial_frac_stations_considering_invest,Unitless,"Initial fraction of stations, by region,, without repurposable tankage,  that are considering investment in hiblend tankage",array | constant,,
DS.initial_frac_stations_considering_repurpose,Unitless,"Initial fraction of stations, by region,, with repurposable tankage,  that are considering repurposing",array | constant,,
DS.initial_frac_stations_with_hi_blend_invest,Unitless,"Initial fraction of stations, by region, without repurposable tankage,  that have already invested in hiblend tankage",array | constant,,
DS.initial_frac_stations_with_repurposed_tankage,Unitless,"Initial fraction of stations, by region, with repurposable tankage,  that have already repurposed",array | constant,,
DS.initial_non_repurposable_stations,stations,"Initial count of stations, by region, WITHOUT repurposable tankage",array | internal calculation,,
DS.initial_not_considering_Invest,stations,"Initial count of stations, by region who are NOT considering investment in new hiblend tankage",array | internal calculation,,
DS.initial_not_considering_repurpose,stations,"Initial count of stations, by region by owner, with repurposable tankage, who are NOT considering repurpose",array | internal calculation,,
DS.initial_repurposable_stations,stations,"Initial count of stations, by region, WITH repurposable tankage",array | internal calculation,,
DS.initial_with_hi_blend_invest,stations,"Initial count of stations, by region, who have already invested in Hiblend tankage",array | internal calculation,,
DS.initial_with_hi_blend_repurposed,stations,"Initial count of stations, by region, with repurposable tankage, who have ALREADY repurposed their tankage",array | internal calculation,,
DS.investing_in_HiBlend,stations/years,flux in stations per yr of investing in hi blend tankage and equipment,array | internal calculation,,
DS.investment_hit_rate,Unitless,"relates net present value of investment in greenfield tankage and equipment, to the likelihood that a station considering will make investment",array | graphical function | internal calculation | assumed values,,
DS.investment_hit_rate_RP,Unitless,"relates net present value of investment in repurposed tankage and equipment, to the likelihood that a station considering will make investment",array | graphical function | internal calculation | assumed values,,
DS.IP_avg_per_gal_markup,USD per gallon,module interface to IP.avg per gal markup,scalar | module interface,,
DS.length_of_period_1,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",scalar | internal calculation,,
DS.length_of_period_2,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",scalar | internal calculation,,
DS.Loan_Principal,US Dollars,Amount of total project Fixed Capital Investment to be financed through loan financing,array | internal calculation,,
DS.Loan_Principal_RP,US Dollars,"Amount of total Fixed Capital Investment, for repurposed stations, that is subject to loan financing",array | internal calculation,,
DS.Margin_on_Other_Rev,Unitless,assumed margin on non-fuel revenue,scalar | constant | assumed value,,
DS.Max_share_market_Hi_Blend_Gas_Equivalent,Unitless,"Max market share obtainable from hi-blend, expressed a fraction of total potential gasoline consumption",array | internal calculation,,
DS.mnthly_station_traffic,visits per month,Expected  monthly visits flux,array | internal calculation,,
DS.months_per_year,months per year,12--always,scalar | constant,,
DS.Net_Exp_Inc_Gas_Rev,US dollars per year,Calculates expected incremental sales revenue from gasoline once investment is made,array | internal calculation,,
DS.Net_Expected_Hi_Blend_Inc_Rev,US dollars per year,Net Expected  incremental revenues from hi blend sales after investment,array | internal calculation,,
DS.Net_Expected_Inc_Other_Rev,US dollars per year,Expected incremental other revenue associated with investment in tankage/equipment,array | internal calculation,,
DS.Net_Expected_Other_Revenue_per_Visit,USD per visit,Expected net other revenue per visit,array | internal calculation,,
DS.Not_Considering_Investment,Stations,stock of Stations (By Region) for whom Hi Blend is NOT on the Radar Screen,array | internal calculation,,
DS.Not_Considering_RP,Stations,"stock of Stations (By Region) with repurposable tankage, for whom Hi Blend is NOT on the Radar Screen",array | internal calculation,,
